"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Chelsea/Clinton,Black,2017,Percent,0.42003,104
Midtown Business District,Black,2017,Percent,0.42003,105
Murray Hill/Stuyvesant,Black,2017,Percent,0.29815,106
Upper West Side,Black,2017,Percent,0.3859,107
Upper East Side,Black,2017,Percent,0.24239,108
Manhattanville,Black,2017,Percent,0.26528,109
Central Harlem,Black,2017,Percent,0.27488,110
East Harlem,Black,2017,Percent,0.38299,111
Washington Heights,Black,2017,Percent,0.20001,112
Mott Haven,Black,2017,Percent,0.52227,201
Hunts Point,Black,2017,Percent,0.52227,202
Morrisania,Black,2017,Percent,0.40455,203
Concourse/Highbridge,Black,2017,Percent,0.31269,204
University Heights,Black,2017,Percent,0.42645,205
East Tremont,Black,2017,Percent,0.40455,206
Bedford Park,Black,2017,Percent,0.25077,207
Riverdale,Black,2017,Percent,0.34185,208
Unionport/Soundview,Black,2017,Percent,0.23414,209
Throgs Neck,Black,2017,Percent,0.06939,210
Pelham Parkway,Black,2017,Percent,0.13844,211
Williamsbridge,Black,2017,Percent,0.0919,212
Williamsburg/Greenpoint,Black,2017,Percent,0.49803,301
Fort Greene/Brooklyn Hts,Black,2017,Percent,0.29868,302
Bedford Stuyvesant,Black,2017,Percent,0.20707,303
Bushwick,Black,2017,Percent,0.34704,304
East New York,Black,2017,Percent,0.20217,305
Park Slope,Black,2017,Percent,0.37173,306
Sunset Park,Black,2017,Percent,0.15345,307
Crown Heights North,Black,2017,Percent,0.20328,308
Crown Heights South,Black,2017,Percent,0.19309,309
Bay Ridge,Black,2017,Percent,0.21166,310
Bensonhurst,Black,2017,Percent,0.13122,311
Borough Park,Black,2017,Percent,0.35492,312
Coney Island,Black,2017,Percent,0.40104,313
Flatbush/Midwood,Black,2017,Percent,0.18278,314
Sheepshead Bay,Black,2017,Percent,0.11463,315
Brownsville,Black,2017,Percent,0.36712,316
East Flatbush,Black,2017,Percent,0.12725,317
Canarsie,Black,2017,Percent,0.07814,318
Astoria,Black,2017,Percent,0.15428,401
Sunnyside/Woodside,Black,2017,Percent,0.13866,402
Jackson Heights,Black,2017,Percent,0.06737,403
Elmhurst/Corona,Black,2017,Percent,0.18053,404
Ridgewood/Glendale,Black,2017,Percent,0.16984,405
Rego Park/Forest Hills,Black,2017,Percent,0.00506,406
Flushing,Black,2017,Percent,0.14599,407
Fresh Meadows/Briarwood,Black,2017,Percent,0.09584,408
Woodhaven,Black,2017,Percent,0.13421,409
Howard Beach,Black,2017,Percent,0.10423,410
Bayside,Black,2017,Percent,0.08744,411
Jamaica/St. Albans,Black,2017,Percent,0.08416,412
Queens Village,Black,2017,Percent,0.09885,413
The Rockaways,Black,2017,Percent,0.25998,414
St. George,Black,2017,Percent,0.28785,501
South Beach,Black,2017,Percent,0.4638,502
Tottenville,Black,2017,Percent,0.07695,503
Battery Park/Tribeca,Asian,2017,Percent,0.20627,101
Greenwich Village,Asian,2017,Percent,0.20627,102
Lower East Side,Asian,2017,Percent,0.26515,103
Chelsea/Clinton,Asian,2017,Percent,0.10041,104
Midtown Business District,Asian,2017,Percent,0.10041,105
Murray Hill/Stuyvesant,Asian,2017,Percent,0.11763,106
Upper West Side,Asian,2017,Percent,0.03592,107
Upper East Side,Asian,2017,Percent,0.07361,108
Manhattanville,Asian,2017,Percent,0.29088,109
Central Harlem,Asian,2017,Percent,0.21297,110
East Harlem,Asian,2017,Percent,0.29715,111
Washington Heights,Asian,2017,Percent,0.2879,112
Mott Haven,Asian,2017,Percent,0,201
Hunts Point,Asian,2017,Percent,0,202
Morrisania,Asian,2017,Percent,0.37328,203
Concourse/Highbridge,Asian,2017,Percent,0.49465,204
University Heights,Asian,2017,Percent,0.20662,205
East Tremont,Asian,2017,Percent,0.37328,206
Bedford Park,Asian,2017,Percent,0.60546,207
Riverdale,Asian,2017,Percent,0.15131,208
Unionport/Soundview,Asian,2017,Percent,0.20268,209
Throgs Neck,Asian,2017,Percent,0.11332,210
Pelham Parkway,Asian,2017,Percent,0.02545,211
Williamsbridge,Asian,2017,Percent,0.12118,212
Williamsburg/Greenpoint,Asian,2017,Percent,0.26739,301
Fort Greene/Brooklyn Hts,Asian,2017,Percent,0.25232,302
Bedford Stuyvesant,Asian,2017,Percent,0.23141,303
Bushwick,Asian,2017,Percent,0.18755,304
East New York,Asian,2017,Percent,0.06821,305
Park Slope,Asian,2017,Percent,0.09157,306
Sunset Park,Asian,2017,Percent,0.31789,307
Crown Heights North,Asian,2017,Percent,0.18292,308
Crown Heights South,Asian,2017,Percent,0.24077,309
Bay Ridge,Asian,2017,Percent,0.19536,310
Bensonhurst,Asian,2017,Percent,0.15069,311
Borough Park,Asian,2017,Percent,0.29628,312
Coney Island,Asian,2017,Percent,0.08947,313
Flatbush/Midwood,Asian,2017,Percent,0.23642,314
Sheepshead Bay,Asian,2017,Percent,0.12524,315
Brownsville,Asian,2017,Percent,0.79047,316
East Flatbush,Asian,2017,Percent,0.05773,317
Canarsie,Asian,2017,Percent,0.03392,318
Astoria,Asian,2017,Percent,0.22121,401
Sunnyside/Woodside,Asian,2017,Percent,0.10473,402
Jackson Heights,Asian,2017,Percent,0.09871,403
Elmhurst/Corona,Asian,2017,Percent,0.14831,404
Ridgewood/Glendale,Asian,2017,Percent,0.05128,405
Rego Park/Forest Hills,Asian,2017,Percent,0.10464,406
Flushing,Asian,2017,Percent,0.19282,407
Fresh Meadows/Briarwood,Asian,2017,Percent,0.12232,408
Woodhaven,Asian,2017,Percent,0.15265,409
Howard Beach,Asian,2017,Percent,0.12511,410
Bayside,Asian,2017,Percent,0.1322,411
Jamaica/St. Albans,Asian,2017,Percent,0.04947,412
Queens Village,Asian,2017,Percent,0.05555,413
The Rockaways,Asian,2017,Percent,0.0755,414
St. George,Asian,2017,Percent,0.12255,501
South Beach,Asian,2017,Percent,0.18984,502
Tottenville,Asian,2017,Percent,0.08793,503
Battery Park/Tribeca,Latino,2017,Percent,0.12557,101
Greenwich Village,Latino,2017,Percent,0.12557,102
Lower East Side,Latino,2017,Percent,0.33919,103
Chelsea/Clinton,Latino,2017,Percent,0.28199,104
Midtown Business District,Latino,2017,Percent,0.28199,105
Murray Hill/Stuyvesant,Latino,2017,Percent,0.11912,106
Upper West Side,Latino,2017,Percent,0.16003,107
Upper East Side,Latino,2017,Percent,0.16131,108
Manhattanville,Latino,2017,Percent,0.25782,109
Central Harlem,Latino,2017,Percent,0.30764,110
East Harlem,Latino,2017,Percent,0.33414,111
Washington Heights,Latino,2017,Percent,0.1818,112
Mott Haven,Latino,2017,Percent,0.42042,201
Hunts Point,Latino,2017,Percent,0.42042,202
Morrisania,Latino,2017,Percent,0.35354,203
Concourse/Highbridge,Latino,2017,Percent,0.40834,204
University Heights,Latino,2017,Percent,0.35997,205
East Tremont,Latino,2017,Percent,0.35354,206
Bedford Park,Latino,2017,Percent,0.34079,207
Riverdale,Latino,2017,Percent,0.21028,208
Unionport/Soundview,Latino,2017,Percent,0.26254,209
Throgs Neck,Latino,2017,Percent,0.14615,210
Pelham Parkway,Latino,2017,Percent,0.21775,211
Williamsbridge,Latino,2017,Percent,0.2651,212
Williamsburg/Greenpoint,Latino,2017,Percent,0.20674,301
Fort Greene/Brooklyn Hts,Latino,2017,Percent,0.21329,302
Bedford Stuyvesant,Latino,2017,Percent,0.19244,303
Bushwick,Latino,2017,Percent,0.31681,304
East New York,Latino,2017,Percent,0.21557,305
Park Slope,Latino,2017,Percent,0.22149,306
Sunset Park,Latino,2017,Percent,0.21134,307
Crown Heights North,Latino,2017,Percent,0.39658,308
Crown Heights South,Latino,2017,Percent,0.22125,309
Bay Ridge,Latino,2017,Percent,0.1702,310
Bensonhurst,Latino,2017,Percent,0.17172,311
Borough Park,Latino,2017,Percent,0.12263,312
Coney Island,Latino,2017,Percent,0.48381,313
Flatbush/Midwood,Latino,2017,Percent,0.18741,314
Sheepshead Bay,Latino,2017,Percent,0.16306,315
Brownsville,Latino,2017,Percent,0.44433,316
East Flatbush,Latino,2017,Percent,0.13318,317
Canarsie,Latino,2017,Percent,0.11873,318
Astoria,Latino,2017,Percent,0.16289,401
Sunnyside/Woodside,Latino,2017,Percent,0.09256,402
Jackson Heights,Latino,2017,Percent,0.18046,403
Elmhurst/Corona,Latino,2017,Percent,0.1786,404
Ridgewood/Glendale,Latino,2017,Percent,0.1079,405
Rego Park/Forest Hills,Latino,2017,Percent,0.09591,406
Flushing,Latino,2017,Percent,0.07689,407
Fresh Meadows/Briarwood,Latino,2017,Percent,0.12852,408
Woodhaven,Latino,2017,Percent,0.12985,409
Howard Beach,Latino,2017,Percent,0.14859,410
Bayside,Latino,2017,Percent,0.12596,411
Jamaica/St. Albans,Latino,2017,Percent,0.12476,412
Queens Village,Latino,2017,Percent,0.07977,413
The Rockaways,Latino,2017,Percent,0.20969,414
St. George,Latino,2017,Percent,0.26368,501
South Beach,Latino,2017,Percent,0.15975,502
Tottenville,Latino,2017,Percent,0.09116,503
Battery Park/Tribeca,All Races and Ethnicities,2017,Percent,0.08673,101
Greenwich Village,All Races and Ethnicities,2017,Percent,0.08673,102
Lower East Side,All Races and Ethnicities,2017,Percent,0.27073,103
Chelsea/Clinton,All Races and Ethnicities,2017,Percent,0.14978,104
Midtown Business District,All Races and Ethnicities,2017,Percent,0.14978,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2017,Percent,0.07808,106
Upper West Side,All Races and Ethnicities,2017,Percent,0.09209,107
Upper East Side,All Races and Ethnicities,2017,Percent,0.06187,108
Manhattanville,All Races and Ethnicities,2017,Percent,0.22909,109
Central Harlem,All Races and Ethnicities,2017,Percent,0.25452,110
East Harlem,All Races and Ethnicities,2017,Percent,0.32224,111
Washington Heights,All Races and Ethnicities,2017,Percent,0.16139,112
Mott Haven,All Races and Ethnicities,2017,Percent,0.44601,201
Hunts Point,All Races and Ethnicities,2017,Percent,0.44601,202
Morrisania,All Races and Ethnicities,2017,Percent,0.37695,203
Concourse/Highbridge,All Races and Ethnicities,2017,Percent,0.38065,204
University Heights,All Races and Ethnicities,2017,Percent,0.36983,205
East Tremont,All Races and Ethnicities,2017,Percent,0.37695,206
Bedford Park,All Races and Ethnicities,2017,Percent,0.35806,207
Riverdale,All Races and Ethnicities,2017,Percent,0.19733,208
Unionport/Soundview,All Races and Ethnicities,2017,Percent,0.24766,209
Throgs Neck,All Races and Ethnicities,2017,Percent,0.10385,210
Pelham Parkway,All Races and Ethnicities,2017,Percent,0.14729,211
Williamsbridge,All Races and Ethnicities,2017,Percent,0.13823,212
Williamsburg/Greenpoint,All Races and Ethnicities,2017,Percent,0.19461,301
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2017,Percent,0.16457,302
Bedford Stuyvesant,All Races and Ethnicities,2017,Percent,0.21965,303
Bushwick,All Races and Ethnicities,2017,Percent,0.27058,304
East New York,All Races and Ethnicities,2017,Percent,0.21143,305
Park Slope,All Races and Ethnicities,2017,Percent,0.09505,306
Sunset Park,All Races and Ethnicities,2017,Percent,0.22151,307
Crown Heights North,All Races and Ethnicities,2017,Percent,0.19093,308
Crown Heights South,All Races and Ethnicities,2017,Percent,0.20219,309
Bay Ridge,All Races and Ethnicities,2017,Percent,0.13103,310
Bensonhurst,All Races and Ethnicities,2017,Percent,0.16196,311
Borough Park,All Races and Ethnicities,2017,Percent,0.29064,312
Coney Island,All Races and Ethnicities,2017,Percent,0.26187,313
Flatbush/Midwood,All Races and Ethnicities,2017,Percent,0.17227,314
Sheepshead Bay,All Races and Ethnicities,2017,Percent,0.13626,315
Brownsville,All Races and Ethnicities,2017,Percent,0.38824,316
East Flatbush,All Races and Ethnicities,2017,Percent,0.1325,317
Canarsie,All Races and Ethnicities,2017,Percent,0.07802,318
Astoria,All Races and Ethnicities,2017,Percent,0.12674,401
Sunnyside/Woodside,All Races and Ethnicities,2017,Percent,0.09401,402
Jackson Heights,All Races and Ethnicities,2017,Percent,0.14494,403
Elmhurst/Corona,All Races and Ethnicities,2017,Percent,0.16063,404
Ridgewood/Glendale,All Races and Ethnicities,2017,Percent,0.0888,405
Rego Park/Forest Hills,All Races and Ethnicities,2017,Percent,0.06965,406
Flushing,All Races and Ethnicities,2017,Percent,0.15137,407
Fresh Meadows/Briarwood,All Races and Ethnicities,2017,Percent,0.12898,408
Woodhaven,All Races and Ethnicities,2017,Percent,0.1313,409
Howard Beach,All Races and Ethnicities,2017,Percent,0.10627,410
Bayside,All Races and Ethnicities,2017,Percent,0.10263,411
Jamaica/St. Albans,All Races and Ethnicities,2017,Percent,0.09034,412
Queens Village,All Races and Ethnicities,2017,Percent,0.08663,413
The Rockaways,All Races and Ethnicities,2017,Percent,0.19777,414
St. George,All Races and Ethnicities,2017,Percent,0.17952,501
South Beach,All Races and Ethnicities,2017,Percent,0.1288,502
Tottenville,All Races and Ethnicities,2017,Percent,0.06956,503
Battery Park/Tribeca,White,2018,Number,1493.81844,101
Battery Park/Tribeca,Black,2018,Number,86.42259,101
Battery Park/Tribeca,Asian,2018,Number,1307.64642,101
Battery Park/Tribeca,Latino,2018,Number,663.11162,101
Battery Park/Tribeca,All Races and Ethnicities,2018,Number,3550.99907,101
Greenwich Village,White,2018,Number,2205.18156,102
Greenwich Village,Black,2018,Number,127.57741,102
Greenwich Village,Asian,2018,Number,1930.35358,102
Greenwich Village,Latino,2018,Number,978.88838,102
Greenwich Village,All Races and Ethnicities,2018,Number,5242.00093,102
Lower East Side,White,2018,Number,7045,103
Lower East Side,Black,2018,Number,7246,103
Lower East Side,Asian,2018,Number,14845,103
Lower East Side,Latino,2018,Number,14838,103
Lower East Side,All Races and Ethnicities,2018,Number,44241,103
Chelsea/Clinton,White,2018,Number,3610.82256,104
Chelsea/Clinton,Black,2018,Number,1055.65577,104
Chelsea/Clinton,Asian,2018,Number,2695.78761,104
Chelsea/Clinton,Latino,2018,Number,3470.8682,104
Chelsea/Clinton,All Races and Ethnicities,2018,Number,11726.17627,104
Midtown Business District,White,2018,Number,1807.17744,105
Midtown Business District,Black,2018,Number,528.34423,105
Midtown Business District,Asian,2018,Number,1349.21239,105
Midtown Business District,Latino,2018,Number,1737.1318,105
Midtown Business District,All Races and Ethnicities,2018,Number,5868.82373,105
Murray Hill/Stuyvesant,White,2018,Number,3368,106
Murray Hill/Stuyvesant,Black,2018,Number,750,106
Murray Hill/Stuyvesant,Asian,2018,Number,5478,106
Murray Hill/Stuyvesant,Latino,2018,Number,1710,106
Murray Hill/Stuyvesant,All Races and Ethnicities,2018,Number,11513,106
Upper West Side,White,2018,Number,8043,107
Upper West Side,Black,2018,Number,1654,107
Upper West Side,Asian,2018,Number,1857,107
Upper West Side,Latino,2018,Number,5428,107
Upper West Side,All Races and Ethnicities,2018,Number,18201,107
Upper East Side,White,2018,Number,7593,108
Upper East Side,Black,2018,Number,1919,108
Upper East Side,Asian,2018,Number,1021,108
Upper East Side,Latino,2018,Number,789,108
Upper East Side,All Races and Ethnicities,2018,Number,11322,108
Manhattanville,White,2018,Number,3028,109
Manhattanville,Black,2018,Number,5181,109
Manhattanville,Asian,2018,Number,3676,109
Manhattanville,Latino,2018,Number,13140,109
Manhattanville,All Races and Ethnicities,2018,Number,26116,109
Central Harlem,White,2018,Number,1761,110
Central Harlem,Black,2018,Number,21238,110
Central Harlem,Asian,2018,Number,1187,110
Central Harlem,Latino,2018,Number,13268,110
Central Harlem,All Races and Ethnicities,2018,Number,38554,110
East Harlem,White,2018,Number,1062,111
East Harlem,Black,2018,Number,8713,111
East Harlem,Asian,2018,Number,1713,111
East Harlem,Latino,2018,Number,17132,111
East Harlem,All Races and Ethnicities,2018,Number,28955,111
Washington Heights,White,2018,Number,4153,112
Washington Heights,Black,2018,Number,1208,112
Washington Heights,Asian,2018,Number,1224,112
Washington Heights,Latino,2018,Number,30797,112
Washington Heights,All Races and Ethnicities,2018,Number,37768,112
Mott Haven,White,2018,Number,501.58711,201
Mott Haven,Black,2018,Number,10302.26825,201
Mott Haven,Asian,2018,Number,43.28417,201
Mott Haven,Latino,2018,Number,28214.91149,201
Mott Haven,All Races and Ethnicities,2018,Number,39738.04786,201
Hunts Point,White,2018,Number,286.41289,202
Hunts Point,Black,2018,Number,5882.73175,202
Hunts Point,Asian,2018,Number,24.71583,202
Hunts Point,Latino,2018,Number,16111.08851,202
Hunts Point,All Races and Ethnicities,2018,Number,22690.95214,202
Morrisania,White,2018,Number,771.05387,203
Morrisania,Black,2018,Number,10256.09278,203
Morrisania,Asian,2018,Number,236.30648,203
Morrisania,Latino,2018,Number,19616.86286,203
Morrisania,All Races and Ethnicities,2018,Number,31205.6655,203
Concourse/Highbridge,White,2018,Number,1574,204
Concourse/Highbridge,Black,2018,Number,11498,204
Concourse/Highbridge,Asian,2018,Number,523,204
Concourse/Highbridge,Latino,2018,Number,26903,204
Concourse/Highbridge,All Races and Ethnicities,2018,Number,41090,204
University Heights,White,2018,Number,900,205
University Heights,Black,2018,Number,14264,205
University Heights,Asian,2018,Number,885,205
University Heights,Latino,2018,Number,35425,205
University Heights,All Races and Ethnicities,2018,Number,52478,205
East Tremont,White,2018,Number,804.94613,206
East Tremont,Black,2018,Number,10706.90722,206
East Tremont,Asian,2018,Number,246.69352,206
East Tremont,Latino,2018,Number,20479.13714,206
East Tremont,All Races and Ethnicities,2018,Number,32577.3345,206
Bedford Park,White,2018,Number,2799,207
Bedford Park,Black,2018,Number,7494,207
Bedford Park,Asian,2018,Number,2092,207
Bedford Park,Latino,2018,Number,29017,207
Bedford Park,All Races and Ethnicities,2018,Number,42405,207
Riverdale,White,2018,Number,2311,208
Riverdale,Black,2018,Number,4157,208
Riverdale,Asian,2018,Number,463,208
Riverdale,Latino,2018,Number,15380,208
Riverdale,All Races and Ethnicities,2018,Number,22521,208
Unionport/Soundview,White,2018,Number,915,209
Unionport/Soundview,Black,2018,Number,8487,209
Unionport/Soundview,Asian,2018,Number,4675,209
Unionport/Soundview,Latino,2018,Number,28503,209
Unionport/Soundview,All Races and Ethnicities,2018,Number,43816,209
Throgs Neck,White,2018,Number,2801,210
Throgs Neck,Black,2018,Number,2442,210
Throgs Neck,Asian,2018,Number,710,210
Throgs Neck,Latino,2018,Number,9207,210
Throgs Neck,All Races and Ethnicities,2018,Number,15334,210
Pelham Parkway,White,2018,Number,2420,211
Pelham Parkway,Black,2018,Number,2874,211
Pelham Parkway,Asian,2018,Number,217,211
Pelham Parkway,Latino,2018,Number,11491,211
Pelham Parkway,All Races and Ethnicities,2018,Number,17178,211
Williamsbridge,White,2018,Number,1705,212
